uf,cargo,teto_centavos,cargo_nome,fonte,data
ES,5,381188703,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
GO,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MA,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MG,5,533664185,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MS,5,317657253,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MT,5,381188703,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PA,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PB,5,381188703,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PE,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PI,5,381188703,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PR,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
RJ,5,533664185,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
RN,5,381188703,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
RO,5,317657253,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
RR,5,317657253,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
RS,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
SC,5,444720154,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
SE,5,317657253,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
SP,5,711552246,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
TO,5,317657253,Senador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
BR,6,317657253,Deputado Federal,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
BR,7,127062901,Deputado Estadual,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
DF,8,127062901,Deputado Distrital,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
